127.0.0.1, 2011-12-23 00:46:03, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.020060
127.0.0.1, 2011-12-23 01:09:23, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.019046
127.0.0.1, 2011-12-23 01:18:34, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.025369
127.0.0.1, 2011-12-23 01:18:36, GET, /jmtws/default/index, HTTP/1.1, 200, 0.028422
127.0.0.1, 2011-12-23 01:19:35, GET, /default/api, HTTP/1.0, 404, 0.000965
127.0.0.1, 2011-12-23 01:19:47, GET, /jmtws/default/api, HTTP/1.0, 400, 0.022588
127.0.0.1, 2011-12-23 01:19:52, GET, /jmtws/default/api, HTTP/1.1, 400, 0.019780
127.0.0.1, 2011-12-23 01:19:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2011-12-23 01:20:08, GET, /jmtws/default/api, HTTP/1.0, 400, 0.020689
127.0.0.1, 2011-12-23 01:20:19, GET, /jmtws/default/api, HTTP/1.0, 400, 0.018664
127.0.0.1, 2011-12-23 01:21:43, GET, /jmtws/default/api, HTTP/1.0, 400, 0.024533
127.0.0.1, 2011-12-23 01:22:32, POST, /jmtws/default/api, HTTP/1.1, 200, 0.035989
127.0.0.1, 2011-12-23 01:23:31, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.016929
127.0.0.1, 2011-12-23 01:23:44, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.017467
127.0.0.1, 2011-12-23 01:23:51, POST, /jmtws/default/api, HTTP/1.1, 200, 0.035741
127.0.0.1, 2011-12-23 01:24:07, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.043448
127.0.0.1, 2011-12-23 01:24:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000174
127.0.0.1, 2011-12-23 01:24:32, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020560
127.0.0.1, 2011-12-23 01:24:36, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020998
127.0.0.1, 2011-12-23 01:24:39, POST, /jmtws/default/api, HTTP/1.1, 200, 0.024584
127.0.0.1, 2011-12-23 01:25:42, POST, /jmtws/default/api, HTTP/1.1, 200, 0.026445
127.0.0.1, 2011-12-23 01:26:07, POST, /jmtws/default/api, HTTP/1.1, 200, 0.022947
127.0.0.1, 2011-12-23 01:27:37, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.016147
127.0.0.1, 2011-12-23 01:27:41, POST, /jmtws/default/jmt, HTTP/1.1, 200, 0.023867
127.0.0.1, 2011-12-23 01:29:45, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.029500
127.0.0.1, 2011-12-23 01:31:56, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.032512
127.0.0.1, 2011-12-23 01:36:22, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.015125
127.0.0.1, 2011-12-23 01:36:37, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020830
127.0.0.1, 2011-12-23 01:38:42, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.025768
127.0.0.1, 2011-12-23 01:39:22, POST, /jmtws/default/jmt/mva, HTTP/1.1, 500, 0.068609
127.0.0.1, 2011-12-23 01:41:31, GET, /admin/default/ticket/jmtws/127.0.0.1.2011-12-23.01-39-22.f08b91f8-12f5-40cb-aea9-dd3b67349ee3, HTTP/1.1, 200, 0.036111
127.0.0.1, 2011-12-23 01:41:31, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000481
127.0.0.1, 2011-12-23 01:41:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2011-12-23 01:42:15, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.018205
127.0.0.1, 2011-12-23 01:42:20, POST, /jmtws/default/jmt/mva, HTTP/1.1, 500, 0.042989
127.0.0.1, 2011-12-23 01:42:47, GET, //127.0.0.1.2011-12-23.01-42-20.02cefc72-c519-4c99-9715-a1e426590806, HTTP/1.1, 400, 0.000456
127.0.0.1, 2011-12-23 01:42:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000462
127.0.0.1, 2011-12-23 01:42:50, GET, /127.0.0.1.2011-12-23.01-42-20.02cefc72-c519-4c99-9715-a1e426590806, HTTP/1.1, 400, 0.000432
127.0.0.1, 2011-12-23 01:42:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
127.0.0.1, 2011-12-23 01:43:05, GET, /admin/default/ticket/jmtws/127.0.0.1.2011-12-23.01-42-20.02cefc72-c519-4c99-9715-a1e426590806, HTTP/1.1, 200, 0.052096
127.0.0.1, 2011-12-23 01:43:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000380
127.0.0.1, 2011-12-23 01:43:58, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020794
127.0.0.1, 2011-12-23 01:44:06, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.022749
127.0.0.1, 2011-12-23 01:44:24, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.024732
127.0.0.1, 2011-12-23 01:45:36, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.015286
127.0.0.1, 2011-12-23 01:45:42, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.020105
127.0.0.1, 2011-12-23 01:45:48, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.031512
127.0.0.1, 2011-12-23 01:45:56, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.021446
127.0.0.1, 2011-12-23 01:46:07, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.024034
127.0.0.1, 2011-12-23 01:47:07, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.017501
127.0.0.1, 2011-12-23 01:47:10, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.065575
127.0.0.1, 2011-12-23 01:47:36, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020331
127.0.0.1, 2011-12-23 01:47:39, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.072236
127.0.0.1, 2011-12-23 09:21:46, GET, /, HTTP/1.1, 303, 0.001463
127.0.0.1, 2011-12-23 09:21:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.017141
127.0.0.1, 2011-12-23 09:21:47, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000266
127.0.0.1, 2011-12-23 09:22:28, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.137897
127.0.0.1, 2011-12-23 09:22:41, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.074062
127.0.0.1, 2011-12-23 09:22:59, GET, /admin, HTTP/1.1, 200, 0.018159
127.0.0.1, 2011-12-23 09:22:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2011-12-23 09:23:01, POST, /admin/default/index, HTTP/1.1, 303, 0.018325
127.0.0.1, 2011-12-23 09:23:01, GET, /admin/default/site, HTTP/1.1, 200, 0.021116
127.0.0.1, 2011-12-23 09:23:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2011-12-23 09:23:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.385653
